ShrubID,Year,Microsite,Exclosure,Gradient,Watered,Rep,D1,D2,H,Volume,Area,Canopy,abundance,richness,SWC.initial,SWC.end,Biomass,brome,nbrome
95,2016,Shrub,N,1,Y,4,3.2,3.1,1.4,3.64,7.79,4,178,2,39.2,21,17.67,166,12
95,2016,Open,N,1,Y,4,,,,,,,128,3,41.4,25.8,2.0856,41,87
97,2016,Shrub,N,1,Y,5,2.8,3.4,1.4,3.49,7.48,7,145,2,30.7,26.8,11.364,144,1
97,2016,Open,N,1,Y,5,,,,,,,160,3,42.6,32,1.1443,66,94
103,2016,Shrub,Y,0,N,4,5.6,3.2,1.6,7.51,14.07,5,127,2,29.8,16.2,20.3545,115,12
103,2016,Open,Y,0,N,4,,,,,,,120,2,31,27.3,6.9402,32,88
104,2016,Shrub,Y,1,Y,5,3,2.6,1.4,2.86,6.13,6,108,3,31,28,13.3429,104,4
104,2016,Open,Y,1,Y,5,,,,,,,137,3,38.8,20,5.8343,44,93
119,2016,Shrub,Y,0,N,5,3.2,3.15,1.25,3.3,7.92,6,171,3,30.7,13.4,16.7621,140,31
119,2016,Open,Y,0,N,5,,,,,,,102,2,36,24.3,2.7909,38,64
120,2016,Shrub,N,0,N,3,3.45,3.15,1.05,2.99,8.54,7,120,1,40.8,17.4,14.642,120,0
120,2016,Open,N,0,N,3,,,,,,,134,2,40.2,23.4,2.2657,56,78
123,2016,Shrub,Y,1,Y,6,4.45,3.2,1.73,6.45,11.18,7,101,2,33.2,23.2,11.8441,93,8
123,2016,Open,Y,1,Y,6,,,,,,,88,2,37.8,24.8,2.7693,10,78
125,2016,Shrub,N,1,Y,6,3.76,2.97,1.02,2.98,8.77,6,167,1,30.8,18.2,15.3102,167,0
125,2016,Open,N,1,Y,6,,,,,,,103,2,31.7,17.4,3.6601,33,70
128,2016,Shrub,Y,0,N,6,3.42,2.56,1.16,2.66,6.88,5,173,2,31.9,12.6,15.6106,161,12
128,2016,Open,Y,0,N,6,,,,,,,123,2,32.4,13.3,8.1532,35,88
129,2016,Shrub,N,0,N,4,5.1,3.63,1.49,7.22,14.54,7,135,2,30.3,23.9,21.2976,132,3
129,2016,Open,N,0,N,4,,,,,,,48,2,30.6,21.6,1.4241,11,37
160,2016,Shrub,Y,1,Y,7,3.8,4,1.12,4.46,11.94,5,193,4,28.6,14.3,16.0895,177,16
160,2016,Open,Y,1,Y,7,,,,,,,148,4,40.2,25.1,9.411,56,92
165,2016,Shrub,Y,0,N,7,4.6,3.9,2.15,10.1,14.09,5,174,2,32.8,11,20.2942,166,8
165,2016,Open,Y,0,N,7,,,,,,,114,2,36.2,157,4.9893,39,75
168,2016,Shrub,N,1,Y,7,5.4,3.5,0.94,4.65,14.84,7,137,2,32.9,19,16.317,123,14
168,2016,Open,N,1,Y,7,,,,,,,127,2,33.4,24,2.0564,72,55
171,2016,Shrub,Y,1,Y,8,2.9,2.3,0.97,1.69,5.24,4,205,2,37.2,15.4,31.134,165,40
171,2016,Open,Y,1,Y,8,,,,,,,206,2,33.4,23,8.4618,121,85
179,2016,Shrub,N,0,N,5,4.5,3.3,1.37,5.33,11.66,5,121,2,30.2,23.6,12.8623,99,22
179,2016,Open,N,0,N,5,,,,,,,116,2,32.6,18.3,3.4534,35,81
183,2016,Shrub,N,0,N,6,4.3,3.3,1.7,6.32,11.14,5,77,2,33.5,19.2,11.8871,10,67
183,2016,Open,N,0,N,6,,,,,,,9,3,36.2,21.2,2.186,8,1
184,2016,Shrub,N,1,N,8,3,3.9,1.71,5.24,9.19,5,129,3,21,15.6,6.2244,5,124
184,2016,Open,N,1,N,8,,,,,,,85,4,32.5,18.6,1.6516,15,70
188,2016,Shrub,N,0,N,7,4.07,3.3,1.99,7,10.55,7,131,3,32.8,16.6,9.3468,3,128
188,2016,Open,N,0,N,7,,,,,,,50,2,30,18.2,2.6992,0,50
195,2016,Shrub,N,1,Y,9,3.25,2.5,1.34,2.85,6.38,3,104,3,24.7,20.7,8.7093,44,60
195,2016,Open,N,1,Y,9,,,,,,,108,3,32.4,18.2,2.8687,0,108
203,2016,Shrub,N,0,N,8,4.1,4.5,1.5,7.25,14.49,6,160,1,33.5,23.2,19.941,160,0
203,2016,Open,N,0,N,8,,,,,,,100,2,36.2,22.8,2.4127,25,75
216,2016,Shrub,Y,0,N,8,3.2,2.9,1.6,3.89,7.29,7,180,1,25.4,12,11.3401,180,0
216,2016,Open,Y,0,N,8,,,,,,,121,4,43.2,25.8,1.8634,42,79
219,2016,Shrub,Y,1,Y,9,3.8,2.5,1.5,3.73,7.46,6,187,2,38.8,22.1,25.5483,182,5
219,2016,Open,Y,1,Y,9,,,,,,,75,3,42,26.6,1.8324,26,49
221,2016,Shrub,Y,0,N,9,3.98,3.12,1.32,4.29,9.75,5,202,1,45.4,20.8,16.8888,202,0
221,2016,Open,Y,0,N,9,,,,,,,119,3,41.6,28.6,3.1294,36,83
252,2016,Shrub,Y,0,N,11,3.6,3,1.7,4.81,8.48,6,40,3,32.6,16.8,6.1822,12,28
252,2016,Open,Y,0,N,11,,,,,,,101,4,29.4,19.8,1.4992,10,91
257,2016,Shrub,Y,1,Y,12,4.1,2.9,1.8,5.6,9.34,5,141,2,27,11.8,17.7866,112,29
257,2016,Open,Y,1,Y,12,,,,,,,133,4,35,20.3,0.7734,5,128
259,2016,Shrub,N,0,N,9,5.7,3.4,1.8,9.13,15.22,7,118,2,32.8,20.2,14.3133,112,6
259,2016,Open,N,0,N,9,,,,,,,103,4,34.4,19,1.0302,14,89
260,2016,Shrub,N,1,Y,10,3.66,3.02,1.27,3.68,8.68,7,125,1,21.4,23.5,15.5158,125,0
260,2016,Open,N,1,Y,10,,,,,,,55,2,35.8,20.5,0.9693,15,40
263,2016,Shrub,Y,1,Y,10,2.41,2.77,1.56,2.73,5.24,6,185,3,30.2,19.4,18.1776,175,10
263,2016,Open,Y,1,Y,10,,,,,,,130,3,36,25.6,2.3445,36,94
268,2016,Shrub,Y,0,N,10,3.94,4.29,1.2,5.31,13.28,6,124,2,41.5,16.2,11.0407,105,19
268,2016,Open,Y,0,N,10,,,,,,,127,3,41.2,22.6,0.7761,51,76
274,2016,Shrub,Y,1,Y,11,3.15,3.58,1.38,4.07,8.86,6,145,3,27.3,8.7,13.305,66,79
274,2016,Open,Y,1,Y,11,,,,,,,101,3,35.2,21,0.9214,12,89
275,2016,Shrub,N,0,N,10,5.49,5.46,1.36,10.67,23.54,8,142,1,34.4,21.6,17.2085,142,0
275,2016,Open,N,0,N,10,,,,,,,76,4,37.2,26.6,1.2768,18,58
276,2016,Shrub,N,0,N,11,3.6,3.7,1.5,5.23,10.46,7,195,1,32.3,13,14.6454,195,0
276,2016,Open,N,0,N,11,,,,,,,112,2,36.6,27.4,1.4791,35,77
292,2016,Shrub,Y,0,Y,13,2.77,3.51,1.23,3.13,7.64,7,211,1,32.3,16.6,19.2379,211,0
292,2016,Open,Y,0,Y,13,,,,,,,165,2,27.8,18.6,4.4638,70,95
301,2016,Shrub,N,1,Y,11,5.08,5.38,2.16,15.45,21.47,7,188,1,29.1,23.8,12.1708,188,0
301,2016,Open,N,1,Y,11,,,,,,,133,3,32.6,25.2,1.8292,70,63
304,2016,Shrub,N,0,N,12,4.39,4.34,1.5,7.48,14.96,8,165,1,35.9,19.4,25.8062,165,0
304,2016,Open,N,0,N,12,,,,,,,89,2,35.2,28.2,2.3115,22,67
329,2016,Shrub,Y,1,Y,14,3.52,2.64,1.46,3.55,7.3,8,173,2,36.4,22.6,15.8969,171,2
329,2016,Open,Y,1,Y,14,,,,,,,159,3,39.8,27.9,4.6824,92,67
332,2016,Shrub,Y,0,N,14,4.4,3.62,1.9,7.92,12.51,9,181,2,35.2,16.6,15.4074,180,1
332,2016,Open,Y,0,N,14,,,,,,,155,3,36.6,27.1,1.4468,66,89
333,2016,Shrub,N,0,N,13,3.2,3.06,1.78,4.56,7.69,6,181,1,28.1,14,20.5907,181,0
333,2016,Open,N,0,N,13,,,,,,,127,2,34.8,32,1.7952,50,77
394,2016,Shrub,N,1,Y,12,4.27,3.39,1.62,6.14,11.37,6,176,1,40.7,22.2,20.0745,176,0
394,2016,Open,N,1,Y,12,,,,,,,137,2,40.1,22.5,2.5884,71,66
395,2016,Shrub,N,1,Y,13,3.42,3.38,1.39,4.21,9.08,5,168,1,34.8,28,20.4012,168,0
395,2016,Open,N,1,Y,13,,,,,,,118,2,40.3,22.2,2.6126,42,76
400,2016,Shrub,N,0,N,14,4.67,3.6,1.89,8.32,13.2,5,202,1,25.3,23.6,19.5635,202,0
400,2016,Open,N,0,N,14,,,,,,,129,2,41.8,26.7,1.621,49,80
408,2016,Shrub,Y,0,Y,12,5.2,4.89,1.57,10.45,19.97,5,170,2,34.3,21.5,11.5784,169,1
408,2016,Open,Y,0,Y,12,,,,,,,137,3,40.2,29.2,6.3865,55,82
410,2016,Shrub,Y,1,Y,13,5.27,4.5,1.73,10.74,18.63,7,105,1,25.7,23.4,10.0875,105,0
410,2016,Open,Y,1,Y,13,,,,,,,143,3,38.4,24.9,6.4134,82,61
424,2016,Shrub,Y,1,Y,15,3.49,3.14,1.73,4.96,8.61,7,188,2,34,22.5,15.4381,185,3
424,2016,Open,Y,1,Y,15,,,,,,,122,3,37.8,31.2,3.8199,52,70
427,2016,Shrub,Y,0,N,15,3.97,3.43,1.55,5.53,10.69,5,218,3,36.3,20.4,12.7295,206,12
427,2016,Open,Y,0,N,15,,,,,,,154,3,37,26.6,4.6153,61,93
428,2016,Shrub,N,1,N,14,3.9,2.97,1.07,3.24,9.1,5,114,1,24.4,20.4,17.3437,114,0
428,2016,Open,N,1,N,14,,,,,,,126,2,36.4,25.7,2.5362,70,56
431,2016,Shrub,N,1,Y,15,5.51,4.8,1.73,11.98,20.77,8,115,1,33.4,29.4,12.249,115,0
431,2016,Open,N,1,Y,15,,,,,,,126,2,40.9,24.8,2.4465,45,81
434,2016,Shrub,N,0,N,15,3.24,3.17,1.58,4.25,8.07,6,147,1,32.9,28.3,10.6761,147,0
434,2016,Open,N,0,N,15,,,,,,,147,2,39.6,21.4,2.103,79,68
